op  mnemo  operand  #  ~  F
BC  MOV    R4,#n8   2  2  1
BD  MOV    R5,#n8   2  2  1
BE  MOV    R6,#n8   2  2  1
BF  MOV    R7,#n8   2  2  1
C0  DEC    @R0      1  1  4
C1  DEC    @R1      1  1  4
C2  FLTT   -        1  1  4
C3  MOVP1  P,@R3    1  2  4
C4  JMP    a11      2  2  1
C5  SEL    RB0      1  1  1
C6  JZ     a8       2  2  1
C7  MOV    A,PSW    1  1  1
C8  DEC    R0       1  1  1
C9  DEC    R1       1  1  1
CA  DEC    R2       1  1  1
CB  DEC    R3       1  1  1
CC  DEC    R4       1  1  1
CD  DEC    R5       1  1  1
CE  DEC    R6       1  1  1
CF  DEC    R7       1  1  1
D0  XRL    A,@R0    1  1  1
D1  XRL    A,@R1    1  1  1
D2  JB     6,a8     2  2  1
D3  XRL    A,#n8    2  2  1
D4  CALL   a11      2  2  1
D5  SEL    RB1      1  1  1
D6  -      -        -  -  -
D7  MOV    PSW,A    1  1  1
D8  XRL    A,R0     1  1  1
D9  XRL    A,R1     1  1  1
DA  XRL    A,R2     1  1  1
DB  XRL    A,R3     1  1  1
DC  XRL    A,R4     1  1  1
DD  XRL    A,R5     1  1  1
DE  XRL    A,R6     1  1  1
DF  XRL    A,R7     1  1  1
E0  DJNZ   @R0,a8   2  2  4
E1  DJNZ   @R1,a8   2  2  4
E2  FRES   -        1  1  4
E3  MOVP3  A,@A     1  2  1
E4  JMP    a11      2  2  1
E5  SEL    MB0      1  1  1
E6  JNC    a8       2  2  1
E7  RL     A        1  1  1
E8  DJNZ   R0,a8    2  2  1
E9  DJNZ   R1,a8    2  2  1
EA  DJNZ   R2,a8    2  2  1
EB  DJNZ   R3,a8    2  2  1
EC  DJNZ   R4,a8    2  2  1
ED  DJNZ   R5,a8    2  2  1
EE  DJNZ   R6,a8    2  2  1
EF  DJNZ   R7,a8    2  2  1
F0  MOV    A,@R0    1  1  1
F1  MOV    A,@R1    1  1  1
F2  JB     7,a8     2  2  1
F3  MOV    P1,@R3   1  2  4
F4  CALL   a11      2  2  1
F5  SEL    MB1      1  1  1
F6  JC     a8       2  2  1
F7  RLC    A        1  1  1
F8  MOV    A,R0     1  1  1
F9  MOV    A,R1     1  1  1
FA  MOV    A,R2     1  1  1
FB  MOV    A,R3     1  1  1
FC  MOV    A,R4     1  1  1
FD  MOV    A,R5     1  1  1
FE  MOV    A,R6     1  1  1
FF  MOV    A,R7     1  1  1
