op  mnemo  operands  #    ~ i
C7  STB    b,n[w]    4/5  1
C8  PUSH   w         2    2
C9  PUSH   #         3    2
CA  PUSH   [w]       2    4
CB  PUSH   n[w]      3/4  4
CC  POP    w         2    2
CD  -      -         -    -
CE  POP    [w]       2    4
CF  POP    n[w]      3/4  4
D0  JNST   r         2    -
D1  JNH    r         2    -
D2  JGT    r         2    -
D3  JNC    r         2    -
D4  JNVT   r         2    -
D5  JNV    r         2    -
D6  JGE    r         2    -
D7  JNE    r         2    -
D8  JST    r         2    -
D9  JH     r         2    -
DA  JLE    r         2    -
DB  JC     r         2    -
DC  JVT    r         2    -
DD  JV     r         2    -
DE  JLT    r         2    -
DF  JE     r         2    -
E0  DJNZ   w,r       3    -
E1  -      -         -    -
E2  -      -         -    -
E3  BR     [w]       2    -
E4  -      -         -    -
E5  -      -         -    -
E6  -      -         -    -
E7  LJMP   rr        3    -
E8  -      -         -    -
E9  -      -         -    -
EA  -      -         -    -
EB  -      -         -    -
EC  -      -         -    -
ED  -      -         -    -
EE  -      -         -    -
EF  LCALL  rr        3    2
F0  RET    -         1    2
F1  -      -         -    -
F2  PUSHF  -         1    2
F3  POPF   -         1    2
F4  -      -         -    -
F5  -      -         -    -
F6  -      -         -    -
F7  TRAP   -         1    4  3
F8  CLRC   -         1    -  5
F9  SETC   -         1    -  5
FA  DI     -         1    -
FB  EI     -         1    -
FC  CLRVT  -         1    -  5
FD  NOP    -         1    -  5
FE  -      -         -    -  -
FF  RST    -         1    1  2
