op  nemo   operand   #  ~  bus sequence
DB  ADD    d16,SP    4  5  0:2:3:4:N:R
DC  -      -         -  -  -
DD  -      -         -  -  -
DE  LDX    d16,SP    4  5  0:2:3:4:N:R
DF  STX    d16,SP    4  5  0:2:3:4:N:W
E0  SUB    d8,SP     3  4  0:2:3:N:R
E1  CMP    d8,SP     3  4  0:2:3:N:R
E2  SBC    d8,SP     3  4  0:2:3:N:R
E3  CPX    d8,SP     3  4  0:2:3:N:R
E4  AND    d8,SP     3  4  0:2:3:N:R
E5  BIT    d8,SP     3  4  0:2:3:N:R
E6  LDA    d8,SP     3  4  0:2:3:N:R
E7  STA    d8,SP     3  4  0:2:3:N:W
E8  EOR    d8,SP     3  4  0:2:3:N:R
E9  ADC    d8,SP     3  4  0:2:3:N:R
EA  ORA    d8,SP     3  4  0:2:3:N:R
EB  ADD    d8,SP     3  4  0:2:3:N:R
EC  -      -         -  -  -
ED  -      -         -  -  -
EE  LDX    d8,SP     3  4  0:2:3:N:R
EF  STX    d8,SP     3  4  0:2:3:N:W
F0  -      -         -  -  -
F1  -      -         -  -  -
F2  -      -         -  -  -
F3  -      -         -  -  -
F4  -      -         -  -  -
F5  -      -         -  -  -
F6  -      -         -  -  -
F7  -      -         -  -  -
F8  -      -         -  -  -
F9  -      -         -  -  -
FA  -      -         -  -  -
FB  -      -         -  -  -
FC  -      -         -  -  -
FD  -      -         -  -  -
FE  -      -         -  -  -
FF  -      -         -  -  -
